file,energy_chgnet_meV,energy_mace_meV,delta_E_meV,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain+0.010_perturbed.cif,-2761522.373199463,-2756404.9334649174,5117.439734545536,12.861890875601112,19.836462366733077,120.30939753687261
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain+0.015_perturbed.cif,-2759585.00289917,-2754525.843993062,5059.158906107768,13.176070750672283,20.602777103012542,126.07704150290954
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain-0.010_perturbed.cif,-2762281.562805176,-2757039.334467059,5242.22833811678,13.854997543717019,20.785681944368115,114.04137524806333
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0092_strain-0.015_perturbed.cif,-2760662.7616882324,-2755396.3445663396,5266.417121892795,14.403800299302965,22.413568613552044,167.44280776508353
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0093_strain+0.010_perturbed.cif,-2761835.9985351562,-2756724.6689181193,5111.329617036972,13.282465922889184,20.36625820273545,112.82573016799799
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0093_strain+0.015_perturbed.cif,-2759911.9148254395,-2754860.031932709,5051.882892730646,13.48107531810242,20.83447327910943,101.78152949171465
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0093_strain-0.010_perturbed.cif,-2762594.2611694336,-2757361.4533233633,5232.807846070267,13.769211328573164,20.583769246306463,133.1353621820136
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0093_strain-0.015_perturbed.cif,-2761035.0952148438,-2755775.9924366255,5259.102778218221,13.925133275295218,20.838724520372487,124.9553499843239
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0096_strain+0.010_perturbed.cif,-2760599.109649658,-2755538.3185437825,5060.791105875745,13.767063826115038,21.610723571675386,154.80852837329917
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0096_strain+0.015_perturbed.cif,-2758827.9762268066,-2753835.2041303297,4992.772096476983,14.006152327639795,22.152838487210925,153.07049779240606
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0096_strain-0.010_perturbed.cif,-2761076.1909484863,-2755830.5583356703,5245.632612816058,14.760998487800038,23.351192508712337,149.23299086646352
